day,licor,id,Photo,Ci,Tleaf,PARi
1,anderegg,H1-1,53.34407313,956.4875983,26.03666071,2000.021071
1,anderegg,H1-1,53.31003822,974.2146285,25.99718519,2000.031481
1,anderegg,H1-1,53.00972292,991.266226,25.97211786,2000.0175
1,anderegg,H1-1,52.93476986,1008.015938,25.96365185,1999.993333
1,anderegg,H1-1,52.83283052,1023.600044,25.96452143,2000.006786
1,anderegg,H1-1,52.63314225,1040.79992,25.97364815,2000.035926
1,anderegg,H1-1,52.94710069,1054.664835,25.98238214,2000.04
1,anderegg,H1-1,52.81047413,1071.522636,25.99268519,2000.04
1,anderegg,H1-1,53.2691369,1085.458007,26.00058571,2000.021071
1,anderegg,H1-1,53.03252034,1102.576103,26.00632963,2000.001852
1,anderegg,H1-1,52.93462107,1118.3041,26.01046071,1999.982143
1,anderegg,H1-1,52.43218387,1136.621093,26.01716667,1999.988889
1,anderegg,H1-1,53.08864055,1149.856449,26.02439643,2000.001429
1,anderegg,H1-1,52.53622315,1168.65602,26.03464815,2000.007778
1,anderegg,H1-1,53.11300591,1183.535357,26.03799286,1999.988214
1,anderegg,H1-1,52.94832725,1200.643533,26.03797037,1999.977037
1,anderegg,H1-1,52.81807976,1216.582391,26.03597143,1999.963929
1,anderegg,H1-1,53.00070753,1233.003239,26.03856296,1999.963704
1,anderegg,H2-1,16.70933499,272.8082789,26.00595161,2000.039677
1,anderegg,H2-1,16.87464147,273.1251689,25.97932414,2000.079655
1,anderegg,H2-1,17.16216582,270.4944629,25.93553571,2000.082857
1,anderegg,H2-1,17.17554127,268.2081433,25.88695556,2000.08037
1,anderegg,H2-1,16.74116175,265.9504469,25.84356786,2000.040714
1,anderegg,H2-1,16.20442727,259.8230444,25.80468889,2000.008889
1,anderegg,H2-1,15.63714503,251.9238761,25.78441786,1999.957857
1,anderegg,H2-1,14.97520532,241.4759156,25.77987407,1999.952593
1,anderegg,H2-1,14.35465075,231.8041412,25.78877143,1999.946786
1,anderegg,H2-1,13.52946736,221.5912651,25.80566667,1999.972222
1,anderegg,H2-1,12.79701354,212.2839246,25.82834643,1999.991071
1,anderegg,H2-1,12.12713014,200.9172554,25.85853333,1999.99037
1,anderegg,H2-1,11.36809341,191.316521,25.88737857,1999.996429
1,anderegg,H2-1,10.75995818,182.1154819,25.91157857,1999.981786
1,anderegg,H2-1,9.876880341,170.7876996,25.94119643,1999.988214
